barcode;name;description;unit;rate;costprice;lastprice;category;notax;discper
6281036010025;بطاطس شيتوس أقواس 16 جرام;بطاطس شيتوس أقواس 16 جرام;1;0.5;0.25;0.25;1;FALSE;0
6287019400128;دقيق أبيض بريمير 10 كيلو;دقيق أبيض بريمير 10 كيلو;1;13;12.5;12.5;1;FALSE;0
6281051000810;لحم غنم مفروم السعودية;لحم غنم مفروم السعودية;1;3.5;3;3;1;FALSE;0
6281022167719;جبن الصافي 200 جرام;جبن الصافي 200 جرام;1;7;6.5;6.5;1;FALSE;0
005619845666;شاي الربيع حبيبات;شاي الربيع حبيبات;1;14.5;14;14;1;FALSE;0
80135890;كيندر جوي 20 جرام;كيندر جوي 20 جرام;1;4;3.5;3.5;1;FALSE;0
6281004038921;علك بلونة غندور;علك بلونة غندور;19;10;9.5;9.5;1;FALSE;0
005518225695;خضار طازج جوافة;خضار طازج جوافة;1;10;8.75;7;1;FALSE;0
005518289695;خضار طازج تين;خضار طازج تين;1;20;19.5;19.5;1;FALSE;0
4000010002;كركم الصفا 400 جرام;كركم الصفا 400 جرام;1;11;10.5;10.5;1;FALSE;0
42098584;عسل الغابة السوداء 125 جرام;عسل الغابة السوداء 125 جرام;1;29;28.5;28.5;1;FALSE;0
4782017617;قفازات;قفازات;1;10;9.5;9.5;1;FALSE;0
160121900006;بيالات;بيالات;1;7;6.5;6.5;1;FALSE;0
8801551104023;غاز المحيميد;غاز المحيميد;1;15;14.5;14.5;1;FALSE;0
6901238100149;رأس غاز;رأس غاز;1;16;15.5;15.5;1;FALSE;0
005515689072;قفازات بلاستيك;قفازات بلاستيك;1;4;3.5;3.5;1;FALSE;0
005557689072;فرشة;فرشة;1;20;19.5;19.5;1;FALSE;0
6936805420580;أعواد أسنان بلاستيك;أعواد أسنان بلاستيك;1;2;1.5;1.5;1;FALSE;0
6281006100169;كومفورت 1 لتر;كومفورت 1 لتر;1;11;10.5;10.5;1;FALSE;0
6281031259788;شامبو عبايات برسيل 1.8 لتر;شامبو عبايات برسيل 1.8 لتر;1;30;29.5;29.5;1;FALSE;0
6287008310100;كأس ورق;كأس ورق;1;5;4.5;4.5;1;FALSE;0
6972173475258;ملعقة كبير;ملعقة كبير;1;8;7.5;7.5;1;FALSE;0
6281101830671;أجنحة دجاج الوشم 400 جرام;أجنحة دجاج الوشم 400 جرام;1;5;4.5;4.5;1;FALSE;0
6281123035016;معمول تمر صباحو 50 جرام;معمول تمر صباحو 50 جرام;1;2;1.5;1.5;1;FALSE;0
6294003562083;نسكافيه 3*1;نسكافيه 3*1;5;34;33.5;33.5;1;FALSE;0
3033710061983;كورن فليكس نستلة شوكولاتة 375 جرام;كورن فليكس نستلة شوكولاتة 375 جرام;1;22;21.5;21.5;1;FALSE;0
6294003549916;مشكل شوكولاتة 480 جرام;مشكل شوكولاتة 480 جرام;1;30;29.5;29.5;1;FALSE;0
7616100997329;نسكافيه 100 جرام;نسكافيه 100 جرام;1;21;20.5;20.5;1;FALSE;0
7613031794560;نسكافيه قولد 50 جرام;نسكافيه قولد 50 جرام;1;16;0;0;1;FALSE;0
7616100262267;نسكافيه 50 جرام;نسكافيه 50 جرام;1;12;11.5;11.5;1;FALSE;0
6294003582678;كيت كات 40 جرام;كيت كات 40 جرام;1;3;2.5;2.5;1;FALSE;0
6259856120;ملح خشن;ملح خشن;1;1;0.5;0.5;1;FALSE;0
2144458846566;مطازيز فاخرة 220 جرام;مطازيز فاخرة 220 جرام;1;8;6.5;6.5;1;FALSE;0
6281100021162;شطة بيدر 473 مل;شطة بيدر 473 مل;1;5;4.5;4.5;1;FALSE;0
841165143078;بسكويت بران;بسكويت بران;1;4;3.5;3.5;1;FALSE;0
841165100682;بسكويت بران 100 جرام;بسكويت بران 100 جرام;1;1;0.5;0.5;1;FALSE;0
6281007058551;عصير فواكه مشكلة رمان المراعي 1.5 لتر;عصير فواكه مشكلة رمان المراعي 1.5 لتر;1;8.5;8;8;1;FALSE;0
6281022110371;لبن الصافي 360 مل;لبن الصافي 360 مل;1;2.25;2;2;1;FALSE;0
001515255610;لبن ماعز جني الجوف;لبن ماعز جني الجوف;1;11;10.5;10.5;1;FALSE;0
5000396037937;ديجيستيف 400 جرام;ديجيستيف 400 جرام;1;11;10.5;10.5;1;FALSE;0
8000380005963;بسكوت لواكر 125 جرام;بسكوت لواكر 125 جرام;1;10;9.5;9.5;1;FALSE;0
5000159461412;ميلك واي 6*21 جرام;ميلك واي 6*21 جرام;1;9;8.5;8.5;1;FALSE;0
8936036025637;بسكويت أوريون;بسكويت أوريون;1;6.5;0;0;1;FALSE;0
8936036025644;بسكوت أوريون كبير;بسكوت أوريون كبير;1;12;11.5;11.5;1;FALSE;0
